Репозиторий,Ссылка,Звезды,Описание (Русский)
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162119,Веб-интерфейс для Stable Diffusion.
the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160503,Освоение командной строки на одной странице.
transformers,https://github.com/huggingface/transformers,158804,🤗 Transformers: фреймворк для современных моделей машинного обучения.
prompts.chat,https://github.com/f/prompts.chat,157442,Делитесь и находите промпты для ChatGPT.
FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,155747,Бесплатные домены для всех.
yt-dlp,https://github.com/yt-dlp/yt-dlp,154809,Полнофункциональный загрузчик аудио/видео.
JavaGuide,https://github.com/Snailclimb/JavaGuide,154656,"Гайд по Java-интервью: базы данных, системы, ИИ."
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,148833,Интересные open-source проекты начального уровня на GitHub.
javascript,https://github.com/airbnb/javascript,148107,Гайд по стилю написания JavaScript.
langflow,https://github.com/langflow-ai/langflow,146573,Инструмент для создания и деплоя ИИ-агентов.
youtube-dl,https://github.com/ytdl-org/youtube-dl,139975,Программа для загрузки видео с YouTube и других сайтов.
next.js,https://github.com/vercel/next.js,138619,Фреймворк React.
tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,138548,Материалы для подготовки к интервью.
scrcpy,https://github.com/Genymobile/scrcpy,138007,Отображение и управление вашим Android устройством.
everything-claude-code,https://github.com/affaan-m/everything-claude-code,137702,Система оптимизации производительности агентов.
opencode,https://github.com/anomalyco/opencode,137112,Агент для написания кода с открытым исходным кодом.
dify,https://github.com/langgenius/dify,135893,Платформа для разработки агентных воркфлоу.
superpowers,https://github.com/obra/superpowers,135092,Фреймворк агентных скиллов и методология разработки.
system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,134338,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models"
go,https://github.com/golang/go,133285,Язык программирования Go.
fucking-algorithm,https://github.com/labuladong/fucking-algorithm,133183,"Взлом LeetCode: не только как, но и почему."
langchain,https://github.com/langchain-ai/langchain,132369,Платформа проектирования агентов.
PowerToys,https://github.com/microsoft/PowerToys,131327,Утилиты для повышения производительности в Windows.
open-webui,https://github.com/open-webui/open-webui,130041,"Пользовательский интерфейс ИИ (Ollama, OpenAI API)."
30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127319,Статьи по программированию для повышения навыков.
react-native,https://github.com/facebook/react-native,125683,Фреймворк для нативных приложений на React.
hello-algo,https://github.com/krahets/hello-algo,124609,Анимированный гид по структурам данных и алгоритмам.
kubernetes,https://github.com/kubernetes/kubernetes,121487,Управление контейнерами промышленного уровня.
electron,https://github.com/electron/electron,120754,":electron: Десктоп-приложения на JS, HTML и CSS."
free-for-dev,https://github.com/ripienaar/free-for-dev,120521,Список SaaS/PaaS с бесплатными тарифами.
excalidraw,https://github.com/excalidraw/excalidraw,120251,Виртуальная доска для рисования диаграмм.
node,https://github.com/nodejs/node,116553,Среда выполнения Node.js.
free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116539,:books: 免费的计算机编程类中文书籍，欢迎投稿
iptv,https://github.com/iptv-org/iptv,114205,Коллекция публичных IPTV каналов со всего мира.
d3,https://github.com/d3/d3,112677,"Визуализация данных с помощью SVG, Canvas и HTML."
three.js,https://github.com/mrdoob/three.js,111761,JavaScript 3D библиотека.
rust,https://github.com/rust-lang/rust,111700,Создание надежного и эффективного ПО.
ui,https://github.com/shadcn-ui/ui,111494,Красивые и доступные компоненты интерфейса.
rustdesk,https://github.com/rustdesk/rustdesk,110618,Open-source приложение для удаленного рабочего стола.
skills,https://github.com/anthropics/skills,110499,Публичный репозиторий скиллов агентов.
Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,109670,Списки для хакеров и исследователей безопасности.
axios,https://github.com/axios/axios,109029,HTTP-клиент на основе промисов.
godot,https://github.com/godotengine/godot,108945,Игровой движок Godot.
generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,108916,21 урок по генеративному ИИ.
claude-code,https://github.com/anthropics/claude-code,108773,Агентный инструмент в терминале для работы в кодом.
TypeScript,https://github.com/microsoft/TypeScript,108403,TypeScript — надмножество JavaScript.
ComfyUI,https://github.com/Comfy-Org/ComfyUI,107769,Мощный графический интерфейс для диффузионных моделей.
clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,107741,Современный GUI клиент на Tauri для прокси.
GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,107225,:cn: GitHub中文排行榜，各语言分设「软件
deno,https://github.com/denoland/deno,106455,Современная среда выполнения JS и TS.
frp,https://github.com/fatedier/frp,105805,Быстрый реверс-прокси для локальных серверов.
nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105181,Бести по Node.js (Июль 2024).
tauri,https://github.com/tauri-apps/tauri,104937,Создание быстрых десктопных и мобильных приложений.
papers-we-love,https://github.com/papers-we-love/papers-we-love,104867,Научные статьи для чтения и обсуждения.
awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,104480,Коллекция LLM-приложений с агентами и RAG.
firecrawl,https://github.com/firecrawl/firecrawl,104095,🔥 API веб-данных для ИИ.
create-react-app,https://github.com/facebook/create-react-app,103731,Создание современного веб-приложения одной командой.
terminal,https://github.com/microsoft/terminal,102529,Новый терминал Windows.
DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,102475,
awesome-mac,https://github.com/jaywcjlove/awesome-mac,101464,Качественное ПО для macOS.
llama.cpp,https://github.com/ggml-org/llama.cpp,101373,LLM инференс на C/C++.
v2rayN,https://github.com/2dust/v2rayN,100730,"GUI клиент для Windows, Linux и macOS."
supabase,https://github.com/supabase/supabase,100235,Платформа разработки на Postgres.
gemini-cli,https://github.com/google-gemini/gemini-cli,100220,AI-агент Gemini в терминале.
angular,https://github.com/angular/angular,100097,Разработка веб-приложений с уверенностью.
