Category,Repository,Link,Stars,Language,Description (RU)
Algorithms,awesome-leetcode-resources,https://github.com/ashishps1/awesome-leetcode-resources,16154,Java,Потрясающие ресурсы LeetCode для изучения структур данных и алгоритмов и подготовки к собеседованиям по программированию.
Math & Mathematics,math-as-code,https://github.com/Experience-Monks/math-as-code,15473,,шпаргалка по математической записи в кодовой форме
Math & Mathematics,Book-Mathematical-Foundation-of-Reinforcement-Learning,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,15182,MATLAB,Это домашняя страница новой книги под названием «Математические основы обучения с подкреплением».
Algorithms,scipy,https://github.com/scipy/scipy,14585,Python,Основной репозиторий библиотеки SciPy
Math & Mathematics,awesome-math,https://github.com/rossant/awesome-math,13913,Python,Кураторский список замечательных ресурсов по математике
Algorithms,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,13836,,":gem: Кураторский список замечательных ресурсов по соревновательному программированию, алгоритмам и структурам данных."
Algorithms,grokking_algorithms,https://github.com/egonSchiele/grokking_algorithms,13357,JavaScript,Код для книги «Алгоритмы гроккинга» (https://www.amazon.com/dp/1633438538)
Algorithms,stable-baselines3,https://github.com/DLR-RM/stable-baselines3,13027,Python,"PyTorch версия Stable Baselines, надежная реализация алгоритмов обучения с подкреплением."
Algorithms,react-fiber-architecture,https://github.com/acdlite/react-fiber-architecture,12892,,"Описание нового основного алгоритма React, React Fiber."
Data Analysis,Ai-Learn,https://github.com/tangyudi/Ai-Learn,12826,,"Дорожная карта обучения искусственному интеллекту, в которой собрано около 200 практических случаев и проектов, предоставлены бесплатные вспомогательные учебные материалы, нулевой вход и практическое трудоустройство! В том числе: Python, математика, машинное обучение, анализ данных, глубокое обучение, компьютерное зрение, обработка естественного языка, PyTorch, тензорный поток, машинное обучение, анализ данных глубокого обучения, интеллектуальный анализ данных, математика, наука о данных, искусственный интеллект, python, тензорный поток, тензорный поток2, кафе, керас, алгоритм pytorch, numpy pandas, matplotlib, seaborn, nlp, cv и другие популярные области."
Algorithms,virtual-dom,https://github.com/Matt-Esch/virtual-dom,11994,JavaScript,Виртуальный DOM и алгоритм сравнения
Algorithms,The-Complete-FAANG-Preparation,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation,11777,Jupyter Notebook,"Погрузитесь в этот репозиторий, всеобъемлющий ресурс, охватывающий структуры данных, алгоритмы, 450 DSA Лава Баббара, лист Striver DSA, лист DSA колледжа Apna и вопросы FAANG! 🚀 Это еще не все! У нас есть такие технические предметы, как операционные системы, СУБД, SQL, компьютерные сети и объектно-ориентированное программирование, которые ждут вас."
Algorithms,lz4,https://github.com/lz4/lz4,11747,C,Чрезвычайно быстрый алгоритм сжатия
Algorithms,leetcode-patterns,https://github.com/seanprashad/leetcode-patterns,11727,TypeScript,Шаблонный подход к изучению вопросов технического интервью
Algorithms,PRML,https://github.com/ctgk/PRML,11722,Jupyter Notebook,"Алгоритмы PRML, реализованные на Python"
Algorithms,CS-Book,https://github.com/iamshuaidi/CS-Book,11519,,"Часто используемые электронные книги по информатике собраны и снабжены ссылками для скачивания, включая книги по Java, Python, Linux, Go, C, C++, структурам данных и алгоритмам, искусственному интеллекту, основам работы с компьютером, интервью, шаблонам проектирования, базам данных, интерфейсу и т. д."
Algorithms,CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,11471,Java,"Интервью «Взлом кодирования», 6-е изд. Решения"
Algorithms,MLAlgorithms,https://github.com/rushter/MLAlgorithms,10971,Python,Минимальные и понятные примеры реализации алгоритмов машинного обучения
Algorithms,xxHash,https://github.com/Cyan4973/xxHash,10971,C,Чрезвычайно быстрый некриптографический алгоритм хеширования
Algorithms,dopamine,https://github.com/google/dopamine,10863,Jupyter Notebook,Дофамин — это исследовательская основа для быстрого прототипирования алгоритмов обучения с подкреплением.
Math & Mathematics,MathJax,https://github.com/mathjax/MathJax,10805,JavaScript,Красивая и доступная математика во всех браузерах
Algorithms,numerical-linear-algebra,https://github.com/fastai/numerical-linear-algebra,10781,Jupyter Notebook,Бесплатный онлайн-учебник блокнотов Jupyter для курса fast.ai Вычислительная линейная алгебра
Algorithms,algorithm-base,https://github.com/chefyuan/algorithm-base,10732,,"Программист, который любит готовить, полон решимости использовать анимацию для объяснения алгоритмов в простой для понимания форме. Мой сайт интервью www.chengxuchu.com"
Algorithms,the-algorithm-ml,https://github.com/twitter/the-algorithm-ml,10557,Python,Исходный код алгоритма рекомендаций Twitter
Algorithms,CryptoSwift,https://github.com/krzyzanowskim/CryptoSwift,10548,Swift,"CryptoSwift — это растущая коллекция стандартных и безопасных криптографических алгоритмов, реализованных в Swift."
Algorithms,mlcourse.ai,https://github.com/Yorko/mlcourse.ai,10533,Python,Открытый курс машинного обучения
Algorithms,minbpe,https://github.com/karpathy/minbpe,10409,Python,"Минимальный чистый код для алгоритма кодирования пар байтов (BPE), обычно используемого при токенизации LLM."
Algorithms,cp-algorithms,https://github.com/cp-algorithms/cp-algorithms,10384,C++,Статьи об алгоритмах и структурах данных для https://cp-algorithms.com (по материалам http://e-maxx.ru)
Algorithms,trianglify,https://github.com/qrohlf/trianglify,10094,JavaScript,Алгоритмически созданное изображение треугольника
Algorithms,leetcode_101,https://github.com/cgao96/leetcode_101,10025,,LeetCode 101: Руководство LeetCode по написанию вопросов
Math & Mathematics,MathModel,https://github.com/zhanwen/MathModel,9968,TeX,"Математическое моделирование для выпускников, математическое моделирование для студентов, выдающиеся статьи на конкурсах по математическому моделированию, алгоритмы математического моделирования, шаблоны документов LaTeX, алгоритмические интеллект-карты, справочники, учебные пособия по программному обеспечению Matlab, PPT"
Algorithms,CLRS,https://github.com/gzc/CLRS,9602,C++,:notebook:Решения для введения в алгоритмы
Algorithms,StockSharp,https://github.com/StockSharp/StockSharp,9579,C#,"Платформа с открытым исходным кодом для алгоритмической и количественной торговли для разработки торговых роботов (фондовые рынки, форекс, криптовалюта, биткойны и опционы)."
Algorithms,cleanrl,https://github.com/vwxyzjn/cleanrl,9485,Python,"Высококачественная реализация алгоритмов глубокого обучения с подкреплением в одном файле с удобными для исследований функциями (PPO, DQN, C51, DDPG, TD3, SAC, PPG)"
Algorithms,maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,9383,Python,Быстрая модульная эталонная реализация алгоритмов сегментации экземпляров и обнаружения объектов в PyTorch.
Algorithms,machinelearning,https://github.com/dotnet/machinelearning,9333,C#,ML.NET — это кроссплатформенная среда машинного обучения с открытым исходным кодом для .NET.
Algorithms,PathPlanning,https://github.com/zhm-real/PathPlanning,9230,Python,Распространенные алгоритмы планирования пути с анимацией.
Algorithms,computer-science-in-javascript,https://github.com/humanwhocodes/computer-science-in-javascript,9123,JavaScript,"Коллекция классических парадигм, алгоритмов и подходов информатики, написанных на JavaScript."
Algorithms,computer-science-flash-cards,https://github.com/jwasham/computer-science-flash-cards,8971,HTML,"Мини-сайт для тестирования как общих знаний в области компьютерных наук, так и практики кодирования и запоминания общих алгоритмов/структур данных."
Algorithms,Learn-Algorithms,https://github.com/nonstriater/Learn-Algorithms,8914,C,Примечания к изучению алгоритма
Algorithms,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8730,Java,:crown: LeetCode алгоритмов с Java-решением(обновление).
Algorithms,aima-python,https://github.com/aimacode/aima-python,8710,Jupyter Notebook,Реализация Python алгоритмов из книги Рассела и Норвига «Искусственный интеллект – современный подход».
Math & Mathematics,math,https://github.com/ossu/math,8578,,🧮Путь к бесплатному самоучителю по математике!
Algorithms,codeforces-go,https://github.com/EndlessCheng/codeforces-go,8290,Go,Библиотека шаблонов соревнований по алгоритмам от Lingcha Shanaifu 💭💡🎈
Algorithms,LeetCode-Book,https://github.com/krahets/LeetCode-Book,8216,Java,"«Предложение Sword Finger» «Структура данных графического алгоритма» «88 избранных вопросов из интервью Крахца» Код решения задач на Python, Java, C++"
Algorithms,C-Sharp,https://github.com/TheAlgorithms/C-Sharp,8080,C#,Все алгоритмы реализованы на C#.
Algorithms,MarkovJunior,https://github.com/mxgmn/MarkovJunior,8068,C#,"Вероятностный язык, основанный на сопоставлении с образцом и распространении ограничений, 153 примера"
Algorithms,ailab,https://github.com/microsoft/ailab,7864,C#,"Испытывайте, изучайте и кодируйте последние революционные инновации с помощью Microsoft AI."
Algorithms,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,7853,JavaScript,💻 JavaScript-реализации алгоритмов информатики
Algorithms,dsa.js-data-structures-algorithms-javascript,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript,7764,JavaScript,🥞Структуры данных и алгоритмы объяснены и реализованы на JavaScript + электронная книга
Algorithms,AlgoNote,https://github.com/itcharge/AlgoNote,7670,Python,"⛽️ «Руководство по очистке алгоритмов»: учебное пособие «Алгоритм и структура данных» с нуля, 200 «Популярные вопросы для собеседований по алгоритмам», более 1000 «Анализ вопросов LeetCode», постоянно обновляется!"
Algorithms,algs4,https://github.com/kevin-wayne/algs4,7525,Java,"Алгоритмы, код учебника 4-го издания и библиотеки"
Algorithms,100days,https://github.com/coells/100days,7496,Jupyter Notebook,100 дней алгоритмов
Algorithms,web-skills,https://github.com/andreasbm/web-skills,7491,JavaScript,"Визуальный обзор полезных навыков, которые нужно освоить веб-разработчику"
Math & Mathematics,Book3_Elements-of-Mathematics,https://github.com/Visualize-ML/Book3_Elements-of-Mathematics,7402,Jupyter Notebook,"Книга_3_""Элементы математики"" | Iris Book: От сложения, вычитания, умножения и деления к машинному обучению; теперь на полках; Вы можете продолжать исправлять ошибки, а студенты, исправившие больше ошибок, получат бесплатные книги!"
Algorithms,machine-learning-course,https://github.com/instillai/machine-learning-course,7049,Python,:speech_balloon: Курс машинного обучения на Python:
Algorithms,VoxelSpace,https://github.com/s-macke/VoxelSpace,6702,C,Алгоритм рендеринга местности менее чем в 20 строк кода
Algorithms,supercollider,https://github.com/supercollider/supercollider,6499,C++,"Аудиосервер, язык программирования и IDE для синтеза звука и алгоритмической композиции."
Algorithms,baekjoon,https://github.com/tony9402/baekjoon,6402,C++,Рабочая тетрадь для подготовки к тесту по кодированию (онлайн-судья Пэкджун)
Algorithms,scikit-opt,https://github.com/guofei9987/scikit-opt,6400,Python,"Генетический алгоритм, оптимизация роя частиц, имитация отжига, алгоритм оптимизации колонии муравьев, иммунный алгоритм, алгоритм роя искусственных рыб, дифференциальная эволюция и TSP (коммивояжер)"
Algorithms,deap,https://github.com/DEAP/deap,6366,Python,Распределенные эволюционные алгоритмы в Python
Algorithms,AlgoXY,https://github.com/liuxinyu95/AlgoXY,6332,TeX,Книга элементарных функциональных алгоритмов и структур данных
Algorithms,swift-algorithms,https://github.com/apple/swift-algorithms,6315,Swift,Часто используемые алгоритмы последовательности и сбора для Swift
Algorithms,rqalpha,https://github.com/ricequant/rqalpha,6279,Python,"Расширяемая, заменяемая алгоритмическая платформа для тестирования и торговли Python, поддерживающая несколько ценных бумаг."
Data Analysis,machine-learning-mindmap,https://github.com/dformoso/machine-learning-mindmap,6260,,"Ментальная карта, обобщающая концепции машинного обучения, от анализа данных до глубокого обучения."
Algorithms,PRMLT,https://github.com/PRML/PRMLT,6205,MATLAB,Код Matlab алгоритмов машинного обучения в книге PRML
Algorithms,LeetCode,https://github.com/wisdompeak/LeetCode,6171,C++,"Этот репозиторий содержит решения и объяснения проблем алгоритмов LeetCode. Включены только средние или выше. Все они написаны на C++/Python и реализованы мной. Проблемы, решаемые несколько раз, помечены гиперссылками."
Algorithms,C-Sharp-Algorithms,https://github.com/aalhour/C-Sharp-Algorithms,6153,C#,:books: :chart_with_upwards_trend: Готовый к использованию проект библиотеки классов стандартных структур данных и алгоритмов на C#.
Algorithms,algorithms_and_data_structures,https://github.com/mandliya/algorithms_and_data_structures,6123,C++,180+ задач по алгоритмам и структурам данных с использованием C++
Algorithms,AI-Job-Notes,https://github.com/amusi/AI-Job-Notes,6050,,"Алгоритм ИИ. Стратегия поиска работы (охватывает стратегии подготовки, руководства по написанию вопросов, рекомендации, списки компаний ИИ и т. д.)"
Algorithms,Deep-Reinforcement-Learning-Algorithms-with-PyTorch,https://github.com/p-christ/Deep-Reinforcement-Learning-Algorithms-with-PyTorch,5927,Python,PyTorch реализации алгоритмов и сред глубокого обучения с подкреплением
Math & Mathematics,Mathematics-for-ML,https://github.com/dair-ai/Mathematics-for-ML,5884,,🧮 Коллекция ресурсов для изучения математики для машинного обучения.
Algorithms,cgal,https://github.com/CGAL/cgal,5821,C++,"Публичный репозиторий CGAL, см. README ниже."
Algorithms,algodeck,https://github.com/teivah/algodeck,5812,HTML,"Коллекция карточек с открытым исходным кодом, которая поможет вам подготовить алгоритмы и структуры данных, а также собеседования по проектированию систем 💯"
Math & Mathematics,stdlib,https://github.com/stdlib-js/stdlib,5790,JavaScript,✨ Фундаментальная числовая библиотека для JavaScript и TypeScript. ✨
Algorithms,causalml,https://github.com/uber/causalml,5790,Python,Моделирование подъемов и причинно-следственные связи с помощью алгоритмов машинного обучения
Data Analysis,DataSciencePython,https://github.com/ujjwalkarn/DataSciencePython,5745,Python,общие задачи анализа данных и машинного обучения с использованием Python
Algorithms,anomalib,https://github.com/open-edge-platform/anomalib,5596,Python,"Библиотека обнаружения аномалий, содержащая самые современные алгоритмы и функции, такие как управление экспериментами, оптимизация гиперпараметров и вывод границ."
Algorithms,seek-tune,https://github.com/cgzirim/seek-tune,5574,Go,Реализация алгоритма распознавания песен Shazam.
Data Analysis,Data-Analysis,https://github.com/WillKoehrsen/Data-Analysis,5509,Jupyter Notebook,Наука о данных с использованием Python
Algorithms,SUPIR,https://github.com/Fanghua-Yu/SUPIR,5497,Python,Целью SUPIR является разработка практических алгоритмов восстановления фотореалистичных изображений в дикой природе. Наша новая онлайн-демо также доступна на сайте suppixel.ai.
Algorithms,rocq,https://github.com/rocq-prover/rocq,5395,OCaml,"Rocq Prover — это интерактивный инструмент для доказательства теорем или помощник по доказательству. Он предоставляет формальный язык для написания математических определений, исполняемых алгоритмов и теорем вместе со средой для полуинтерактивной разработки доказательств, проверяемых машиной."
Algorithms,Superalgos,https://github.com/Superalgos/Superalgos,5390,JavaScript,"Бесплатный бот для торговли криптовалютой с открытым исходным кодом, программное обеспечение для автоматической торговли биткойнами/криптовалютами, боты для алгоритмической торговли. Визуально спроектируйте своего бота для торговли криптовалютой, используя интегрированную систему диаграмм, интеллектуальный анализ данных, тестирование на исторических данных, бумажную торговлю и развертывание крипто-бота на нескольких серверах."
Algorithms,cpp-cheat-sheet,https://github.com/gibsjose/cpp-cheat-sheet,5258,C++,"Синтаксис C++, структуры данных и алгоритмы. Шпаргалка"
Algorithms,LeetCode-Solutions,https://github.com/kamyu104/LeetCode-Solutions,5186,C++,🏋️ Решения всех 3888 проблем LeetCode на Python/современном C++ (еженедельное обновление)
Algorithms,open_spiel,https://github.com/google-deepmind/open_spiel,5114,C++,OpenSpiel — это набор сред и алгоритмов для исследований в области общего обучения с подкреплением и поиска/планирования в играх.
Algorithms,Object-Detection-Metrics,https://github.com/rafaelpadilla/Object-Detection-Metrics,5099,Python,"Наиболее популярные метрики, используемые для оценки алгоритмов обнаружения объектов."
Algorithms,lightfm,https://github.com/lyst/lightfm,5072,Python,"Реализация LightFM на Python, гибридного алгоритма рекомендаций."
Algorithms,AutoGPTQ,https://github.com/AutoGPTQ/AutoGPTQ,5043,Python,"Простой в использовании пакет квантования LLM с удобным API, основанный на алгоритме GPTQ."
Algorithms,thrust,https://github.com/NVIDIA/thrust,5000,C++,[АРХИВИРОВАНО] Библиотека параллельных алгоритмов C++. См. https://github.com/NVIDIA/cccl.
Algorithms,machine_learning_complete,https://github.com/Nyandwi/machine_learning_complete,4996,Jupyter Notebook,"Комплексный репозиторий машинного обучения, содержащий более 30 блокнотов по различным концепциям, алгоритмам и методам."
Algorithms,Ready-For-Tech-Interview,https://github.com/WooVictory/Ready-For-Tech-Interview,4929,,💻 Пространство для обучения и накопления знаний в качестве нового разработчика 👨‍💻
Algorithms,Cirq,https://github.com/quantumlib/Cirq,4909,Python,"Платформа Python для создания, редактирования и запуска квантовых схем с шумом промежуточного масштаба (NISQ)."
Algorithms,javascript-datastructures-algorithms,https://github.com/loiane/javascript-datastructures-algorithms,4856,JavaScript,:books: коллекция структур и алгоритмов данных JavaScript и TypeScript для образовательных целей. Книга «Пакет исходного кода алгоритмов JavaScript и структур данных»
Algorithms,blog,https://github.com/biaochenxuying/blog,4780,HTML,"В основном сосредотачивайтесь на крупных интерфейсных технологиях, дополняя их чтением заметок, эссе и управлением финансами. Будьте учеником на протяжении всей жизни."
Algorithms,C-C-,https://github.com/tangtangcoding/C-C-,4695,,"Бесплатный обмен материалами электронных книг, посвященными программистам. Добро пожаловать на личный публичный аккаунт WeChat: Программирование и практический бой."
Algorithms,machinelearning-samples,https://github.com/dotnet/machinelearning-samples,4682,PowerShell,Примеры для ML.NET — кроссплатформенной среды машинного обучения с открытым исходным кодом для .NET.
Algorithms,pyalgotrade,https://github.com/gbeced/pyalgotrade,4647,Python,Библиотека алгоритмического трейдинга Python
Algorithms,linfa,https://github.com/rust-ml/linfa,4600,Rust,Фреймворк машинного обучения Rust.
Algorithms,FAANG-Coding-Interview-Questions,https://github.com/ombharatiya/FAANG-Coding-Interview-Questions,4593,,"Кураторский список вопросов по программированию, задаваемых в интервью FAANG"
Algorithms,pysot,https://github.com/STVIR/pysot,4589,Python,"Платформа SenseTime Research для отслеживания отдельных объектов, реализующая такие алгоритмы, как SiamRPN и SiamMask."
Algorithms,EconML,https://github.com/py-why/EconML,4578,Jupyter Notebook,"ALICE (Автоматическое обучение и интеллект для причинно-следственной связи и экономики) — это исследовательский проект Microsoft, направленный на применение концепций искусственного интеллекта для принятия экономических решений. Одна из его целей — создать набор инструментов, который сочетает в себе современные методы машинного обучения с эконометрикой, чтобы автоматизировать решение сложных задач причинно-следственной связи. На сегодняшний день ALICE Python SDK (econml) реализует ортогональные алгоритмы машинного обучения, такие как работа двойного машинного обучения Черножукова и др. Этот набор инструментов предназначен для измерения причинного влияния некоторых переменных лечения t на переменную результата y с учетом набора характеристик x."
Algorithms,Machine-Learning-with-Python,https://github.com/susanli2016/Machine-Learning-with-Python,4565,Jupyter Notebook,Код Python для распространенных алгоритмов машинного обучения
Algorithms,java-algorithms-implementation,https://github.com/phishman3579/java-algorithms-implementation,4531,Java,"Алгоритмы и структуры данных, реализованные на Java"
Algorithms,JavaCollection,https://github.com/hansonwang99/JavaCollection,4528,,Java-проект с открытым исходным кодом «Путь к самообучению программированию»: учебное пособие + руководство по собеседованию + обмен ресурсами + технические статьи
Algorithms,shareOI,https://github.com/hzwer/shareOI,4415,,Обмен учебными материалами для соревнований по алгоритмам
Algorithms,machine_learning_basics,https://github.com/zotroneneis/machine_learning_basics,4412,Jupyter Notebook,Простые реализации базовых алгоритмов машинного обучения на Python.
Algorithms,lz-string,https://github.com/pieroxy/lz-string,4400,TypeScript,Алгоритм сжатия на основе LZ для JavaScript
Algorithms,pygorithm,https://github.com/OmkarPathak/pygorithm,4393,Python,Модуль Python для изучения всех основных алгоритмов.
Algorithms,Math_Model,https://github.com/personqianduixue/Math_Model,4346,MATLAB,"Математическое моделирование, соревнования США, соревнования американских студентов по математическому моделированию, национальные соревнования студентов колледжей по математическому моделированию, Кубок Huawei по математическому моделированию для выпускников, национальные соревнования, шаблон LaTeX, конкурс США, шаблон LaTeX, mathorcup, Кубок электриков, соревнования Центрального Китая, APMCM, Кубок Шэньчжэня, Молодежный кубок Китая, Кубок Восточного Китая, Размерный кубок, математическое моделирование трех восточных провинций, сертификационный кубок, книги по математическому моделированию, часто используемый Matlab алгоритмы, точки обзора национальных соревнований, обзор алгоритмов модели программного обеспечения, интеллектуальные алгоритмы, алгоритмы оптимизации, современные алгоритмы"
Algorithms,Several-Coding-Patterns-for-Solving-Data-Structures-and-Algorithms-Problems-during-Interviews,https://github.com/Chanda-Abdul/Several-Coding-Patterns-for-Solving-Data-Structures-and-Algorithms-Problems-during-Interviews,4303,,Несколько шаблонов кодирования для решения проблем со структурами данных и алгоритмами во время собеседований
Algorithms,flow_matching,https://github.com/facebookresearch/flow_matching,4298,Python,"Библиотека PyTorch для реализации алгоритмов сопоставления потоков, включающая реализации непрерывного и дискретного сопоставления потоков. Он включает практические примеры как для текстовых, так и для графических модальностей."
Algorithms,braft,https://github.com/baidu/braft,4209,C++,"Реализация C++ промышленного уровня консенсусного алгоритма RAFT на основе brpc, широко используемая внутри Baidu для создания распределенных систем с высокой доступностью."
