Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
Analysis,data-analysis,TrendRadar,50887,Python,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。","⭐ Мониторинг общественного мнения и тенденций на основе искусственного интеллекта с многоплатформенной агрегацией, RSS и интеллектуальными оповещениями.🎯 Попрощайтесь с информационной перегрузкой с помощью вашего помощника по мониторингу общественного мнения с помощью искусственного интеллекта и инструмента проверки горячих точек! Объединяет многоплатформенные точки доступа + подписки RSS для поддержки точной фильтрации ключевых слов. Интеллектуальный просмотр новостей с помощью искусственного интеллекта + перевод с использованием искусственного интеллекта + брифинги с анализом с использованием искусственного интеллекта передаются непосредственно на мобильные телефоны. Он также поддерживает доступ к архитектуре MCP, позволяя искусственному интеллекту анализировать диалоги на естественном языке, анализировать эмоции и прогнозировать тенденции. Поддерживает Docker, данные автономны локально/в облаке. Интегрируйте интеллектуальные push-уведомления через такие каналы, как WeChat/Feishu/DingTalk/Telegram/Mail/ntfy/bark/slack."
Analysis,data-analysis,pandas,48348,Python,https://github.com/pandas-dev/pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more","Гибкая и мощная библиотека анализа/манипулирования данными для Python, предоставляющая помеченные структуры данных, аналогичные объектам R data.frame, статистические функции и многое другое."
Encryption,security-tools,x64dbg,48024,C++,https://github.com/x64dbg/x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,Отладчик пользовательского режима с открытым исходным кодом для Windows. Оптимизирован для обратного проектирования и анализа вредоносного ПО.
Analysis,data-science,Made-With-ML,47106,Jupyter Notebook,https://github.com/GokuMohandas/Made-With-ML,"Learn how to develop, deploy and iterate on production-grade ML applications.","Узнайте, как разрабатывать, развертывать и выполнять итерации приложений машинного обучения промышленного уровня."
Analysis,data-analysis,metabase,46742,Clojure,https://github.com/metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,"Простой в использовании инструмент бизнес-аналитики и встроенной аналитики с открытым исходным кодом, который позволяет каждому работать с данными :bar_chart:"
Analysis,data-science,airflow,44886,Python,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","Apache Airflow — платформа для программного создания, планирования и мониторинга рабочих процессов."
Analysis,data-analysis,streamlit,44121,Python,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Streamlit — более быстрый способ создания приложений для работы с данными и обмена ими.
Analysis,data-analysis,gradio,42254,Python,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Создавайте и делитесь замечательными приложениями машинного обучения на Python. 🌟Звездочка поддержит нашу работу!
Analysis,data-science,ray,41952,Python,https://github.com/ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,Рэй — вычислительная машина искусственного интеллекта. Ray состоит из базовой распределенной среды выполнения и набора библиотек искусственного интеллекта для ускорения рабочих нагрузок машинного обучения.
Design,design-system,daisyui,40667,Svelte,https://github.com/saadeghi/daisyui,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library","🌼 🌼 🌼 🌼 🌼  Самая популярная, бесплатная библиотека CSS-компонентов Tailwind с открытым исходным кодом."
Design,design-system,chakra-ui,40327,TypeScript,https://github.com/chakra-ui/chakra-ui,Chakra UI is a component system for building SaaS products with speed ⚡️,Chakra UI — это система компонентов для быстрого создания SaaS-продуктов ⚡️
Analysis,data-analysis,BettaFish,40162,Python,https://github.com/666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,"Weiyu: мультиагентный помощник по анализу общественного мнения, доступный каждому, разрывающий информационный кокон, восстанавливающий первоначальный вид общественного мнения, прогнозирующий будущие тенденции и помогающий в принятии решений! Реализован с нуля и не зависит от какого-либо фреймворка."
Encryption,encryption,spacedrive,37666,Rust,https://github.com/spacedriveapp/spacedrive,"Spacedrive is an open source cross-platform file explorer, powered by a virtual distributed filesystem written in Rust.","Spacedrive — это кроссплатформенный файловый менеджер с открытым исходным кодом, работающий на виртуальной распределенной файловой системе, написанной на Rust."
Statistics,statistics,umami,35997,TypeScript,https://github.com/umami-software/umami,"Umami is a modern, privacy-focused analytics platform. An open-source alternative to Google Analytics, Mixpanel and Amplitude.","Umami — это современная аналитическая платформа, ориентированная на конфиденциальность. Альтернатива с открытым исходным кодом Google Analytics, Mixpanel и Amplitude."
Encryption,security-tools,shannon,35304,TypeScript,https://github.com/KeygraphHQ/shannon,"Shannon Lite is an autonomous, white-box AI pentester for web applications and APIs. It analyzes your source code, identifies attack vectors, and executes real exploits to prove vulnerabilities before they reach production.","Shannon Lite — это автономный пентестер искусственного интеллекта «белого ящика» для веб-приложений и API. Он анализирует ваш исходный код, определяет векторы атак и выполняет реальные эксплойты, чтобы доказать наличие уязвимостей до того, как они попадут в рабочую среду."
Analysis,data-analysis,Data-Science-For-Beginners,34709,Jupyter Notebook,https://github.com/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!","10 недель, 20 уроков, наука о данных для всех!"
Encryption,encryption,CyberChef,34488,JavaScript,https://github.com/gchq/CyberChef,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis","The Cyber ​​Swiss Army Knife — веб-приложение для шифрования, кодирования, сжатия и анализа данных."
Encryption,security-tools,trivy,34354,Go,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more","Находите уязвимости, неправильные конфигурации, секреты, SBOM в контейнерах, Kubernetes, репозиториях кода, облаках и т. д."
Encryption,cryptography,JavaScript,34085,JavaScript,https://github.com/TheAlgorithms/JavaScript,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices.","Алгоритмы и структуры данных, реализованные на JavaScript для начинающих, с использованием лучших практик."
Encryption,cryptography,anoma,33938,Elixir,https://github.com/anoma/anoma,Reference implementation of Anoma,Эталонная реализация Anoma
Analysis,data-science,spaCy,33420,Python,https://github.com/explosion/spaCy,💫 Industrial-strength Natural Language Processing (NLP) in Python,💫 Промышленная обработка естественного языка (NLP) в Python
Analysis,data-science,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32678,Multi,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,500 AI Machine learning Deep learning Computer vision NLP Projects with code,500 AI Машинное обучение Глубокое обучение Компьютерное зрение НЛП Проекты с кодом
Encryption,security-tools,web-check,32573,TypeScript,https://github.com/Lissy93/web-check,🕵️‍♂️ All-in-one OSINT tool for analysing any website,🕵️‍♂️ Универсальный OSINT-инструмент для анализа любого сайта
Forecasting,time-series,influxdb,31370,Rust,https://github.com/influxdata/influxdb,"Scalable datastore for metrics, events, and real-time analytics","Масштабируемое хранилище данных для метрик, событий и аналитики в реальном времени."
Analysis,data-science,ML-From-Scratch,31210,Python,https://github.com/eriklindernoren/ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,Машинное обучение с нуля. Простые реализации NumPy моделей и алгоритмов машинного обучения с упором на доступность. Цель: охватить все: от линейной регрессии до глубокого обучения.
Analysis,data-science,pytorch-lightning,30990,Python,https://github.com/Lightning-AI/pytorch-lightning,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",Предварительная подготовка и точная настройка ЛЮБОЙ модели ИИ ЛЮБОГО размера на 1 или более 10 000 графических процессоров без изменений кода.
Analysis,data-analysis,AI-Expert-Roadmap,30881,JavaScript,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2022,"Дорожная карта, как стать экспертом по искусственному интеллекту в 2022 году"
Encryption,encryption,algo,30328,Python,https://github.com/trailofbits/algo,Set up a personal VPN in the cloud,Настройте персональный VPN в облаке
Encryption,cryptography,openssl,29877,C,https://github.com/openssl/openssl,TLS/SSL and crypto library,TLS/SSL и криптографическая библиотека
Analysis,data-science,data-science-ipython-notebooks,28970,Python,https://github.com/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.","Записные книжки Python для науки о данных: глубокое обучение (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, большие данные (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python Essentials, AWS и различные командные строки."
Analysis,data-science,awesome-datascience,28769,Multi,https://github.com/academic/awesome-datascience,:memo: An awesome Data Science repository to learn and apply for real world problems.,":memo: Отличный репозиторий Data Science, где можно учиться и применять решения реальных проблем."
Analysis,data-science,applied-ml,28757,Multi,https://github.com/eugeneyan/applied-ml,📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.,"📚 Статьи и технические блоги компаний, рассказывающих о своей работе в области науки о данных и машинного обучения в производстве."
Analysis,data-science,d2l-en,28555,Python,https://github.com/d2l-ai/d2l-en,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.","Интерактивная книга по глубокому обучению с многофреймворковым кодом, математикой и обсуждениями. Принят в 500 университетах из 70 стран, включая Стэнфорд, Массачусетский технологический институт, Гарвард и Кембридж."
Statistics,statistics,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,28422,Jupyter Notebook,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,"aka ""Bayesian Methods for Hackers"": An introduction to Bayesian methods + probabilistic programming with a computation/understanding-first, mathematics-second point of view. All in pure Python ;)  ","также известные как «Байесовские методы для хакеров»: введение в байесовские методы + вероятностное программирование с точки зрения вычислений/понимания, а затем математики. Все на чистом Python ;)"
Encryption,encryption,setup-ipsec-vpn,27559,Shell,https://github.com/hwdsl2/setup-ipsec-vpn,"Scripts to build your own IPsec VPN server, with IPsec/L2TP, Cisco IPsec and IKEv2","Скрипты для создания собственного IPsec VPN-сервера с IPsec/L2TP, Cisco IPsec и IKEv2."
Encryption,security-tools,gitleaks,25787,Go,https://github.com/gitleaks/gitleaks,Find secrets with Gitleaks 🔑,Находите секреты с Gitleaks 🔑
Encryption,encryption,ente,25745,Dart,https://github.com/ente-io/ente,💚 End-to-end encrypted cloud for everything.,💚 Облако со сквозным шифрованием для всего.
Encryption,security-tools,infisical,25709,TypeScript,https://github.com/Infisical/infisical,"Infisical is the open-source platform for secrets, certificates, and privileged access management.","Infisical — это платформа с открытым исходным кодом для секретов, сертификатов и управления привилегированным доступом."
Encryption,security-tools,trufflehog,25499,Go,https://github.com/trufflesecurity/trufflehog,"Find, verify, and analyze leaked credentials","Найдите, проверьте и проанализируйте утекшие учетные данные"
Design,graphic-design,Graphite,24990,Rust,https://github.com/GraphiteEditor/Graphite,"Open source comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing","Комплексный набор инструментов для создания 2D-контента с открытым исходным кодом для графического дизайна, цифрового искусства и интерактивной анимационной графики в реальном времени — с процедурным редактированием на основе узлов."
Analysis,data-science,fastbook,24844,Jupyter Notebook,https://github.com/fastai/fastbook,"The fastai book, published as Jupyter Notebooks","Книга фастай, изданная под названием Jupyter Notebooks."
Forecasting,time-series,TDengine,24799,C,https://github.com/taosdata/TDengine,"High-performance, scalable time-series database designed for Industrial IoT (IIoT) scenarios","Высокопроизводительная масштабируемая база данных временных рядов, разработанная для сценариев промышленного Интернета вещей (IIoT)."
Statistics,statistics,analytics,24537,Elixir,https://github.com/plausible/analytics,"Simple, open source, lightweight and privacy-friendly web analytics alternative to Google Analytics.","Простая, легкая и безопасная для конфиденциальности веб-аналитика с открытым исходным кодом, альтернатива Google Analytics."
Analysis,data-science,dash,24437,Python,https://github.com/plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,Приложения для обработки данных и информационные панели для Python. JavaScript не требуется.
Analysis,data-analysis,dataease,23718,Java,https://github.com/dataease/dataease,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.,"🔥Инструменты BI с открытым исходным кодом, доступные каждому, артефакты визуализации данных. Инструмент бизнес-аналитики с открытым исходным кодом, альтернатива Tableau."
Design,design-system,docz,23626,TypeScript,https://github.com/doczjs/docz,✍ It has never been so easy to document your things!,✍ Документировать свои вещи еще никогда не было так просто!
Analysis,data-analysis,pandas-ai,23441,Python,https://github.com/sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.","Общайтесь со своей базой данных или озером данных (SQL, CSV, паркет). PandasAI делает анализ данных диалоговым, используя LLM и RAG."
Analysis,data-analysis,best-of-ml-python,23399,Multi,https://github.com/lukasmasuch/best-of-ml-python,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,🏆 Ранжированный список потрясающих библиотек Python для машинного обучения. Обновляется еженедельно.
Analysis,data-science,matplotlib,22679,Python,https://github.com/matplotlib/matplotlib,matplotlib: plotting with Python,matplotlib: построение графиков с помощью Python
Encryption,security-tools,social-analyzer,22496,JavaScript,https://github.com/qeeqbox/social-analyzer,"API, CLI, and Web App for analyzing and finding a person's profile in 1000 social media \ websites","API, CLI и веб-приложение для анализа и поиска профиля человека в 1000 социальных сетях\сайтах."
Forecasting,time-series,timescaledb,22304,C,https://github.com/timescale/timescaledb,A time-series database for high-performance real-time analytics packaged as a Postgres extension,"База данных временных рядов для высокопроизводительной аналитики в реальном времени, упакованная в виде расширения Postgres."
Analysis,data-science,prefect,22042,Python,https://github.com/PrefectHQ/prefect,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,Prefect — это платформа оркестрации рабочих процессов для создания отказоустойчивых конвейеров данных на Python.
Analysis,data-science,recommenders,21594,Python,https://github.com/recommenders-team/recommenders,Best Practices on Recommendation Systems,Лучшие практики в области рекомендательных систем
Encryption,cryptography,Ciphey,21291,Python,https://github.com/bee-san/Ciphey,"⚡ Automatically decrypt encryptions without knowing the key or cipher, decode encodings, and crack hashes ⚡","⚡ Автоматически расшифровывать зашифрованные данные, не зная ключа или шифра, декодировать кодировки и взламывать хэши ⚡"
Encryption,security-tools,personal-security-checklist,21088,TypeScript,https://github.com/Lissy93/personal-security-checklist,🔒 A compiled checklist of 300+ tips for protecting digital security and privacy in 2026,🔒 Составленный контрольный список из более чем 300 советов по защите цифровой безопасности и конфиденциальности в 2026 году.
Analysis,data-analysis,airbyte,21018,Python,https://github.com/airbytehq/airbyte,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.","Ведущая платформа интеграции данных для конвейеров данных ETL/ELT от API, баз данных и файлов до хранилищ данных, озер данных и озер данных. Как самостоятельное, так и облачное размещение."
Statistics,statistics,excelize,20445,Go,https://github.com/qax-os/excelize,Go language library for reading and writing Microsoft Excel™ (XLAM / XLSM / XLSX / XLTM / XLTX) spreadsheets,Языковая библиотека Go для чтения и записи электронных таблиц Microsoft Excel™ (XLAM/XLSM/XLSX/XLTM/XLTX).
Analysis,data-analysis,goaccess,20382,C,https://github.com/allinurl/goaccess,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,"GoAccess — это анализатор веб-журналов в реальном времени и интерактивный просмотрщик, который запускается на терминале в системах *nix или через ваш браузер."
Encryption,security-tools,dotenv,20355,JavaScript,https://github.com/motdotla/dotenv,Loads environment variables from .env for nodejs projects.,Загружает переменные среды из .env для проектов nodejs.
Analysis,data-science,marimo,20140,Python,https://github.com/marimo-team/marimo,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor.","Реактивный блокнот для Python — запускайте воспроизводимые эксперименты, запросы с помощью SQL, выполнение как скрипт, развертывание как приложение и версию с помощью git. Хранится как чистый Python. И все это в современном редакторе с поддержкой искусственного интеллекта."
Forecasting,forecasting,prophet,20105,Python,https://github.com/facebook/prophet,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear growth.,"Инструмент для создания высококачественных прогнозов для данных временных рядов, имеющих множественную сезонность с линейным или нелинейным ростом."
Encryption,security-tools,RustScan,19548,Rust,https://github.com/bee-san/RustScan,🤖 The Modern Port Scanner 🤖,🤖 Современный сканер портов 🤖
Analysis,data-science,stanford-cs-229-machine-learning,19332,Multi,https://github.com/afshinea/stanford-cs-229-machine-learning,VIP cheatsheets for Stanford's CS 229 Machine Learning,VIP-шпаргалки по машинному обучению CS 229 в Стэнфорде
Encryption,cryptography,gun,19007,JavaScript,https://github.com/amark/gun,An open source cybersecurity protocol for syncing decentralized graph data.,Протокол кибербезопасности с открытым исходным кодом для синхронизации данных децентрализованных графиков.
Analysis,data-analysis,akshare,18023,Python,https://github.com/akfamily/akshare,"AKShare is an elegant and simple financial data interface library for Python, built for human beings! 开源财经数据接口库","AKShare — это элегантная и простая библиотека интерфейса финансовых данных для Python, созданная для людей! Библиотека интерфейса финансовых данных с открытым исходным кодом"
Encryption,security-tools,fail2ban,17402,Python,https://github.com/fail2ban/fail2ban,Daemon to ban hosts that cause multiple authentication errors,"Демон для блокировки хостов, вызывающих множественные ошибки аутентификации"
Analysis,data-analysis,claude-scientific-skills,17371,Python,https://github.com/K-Dense-AI/claude-scientific-skills,"A set of ready to use Agent Skills for research, science, engineering, analysis, finance and writing.","Набор готовых к использованию навыков агента для исследований, науки, инженерии, анализа, финансов и письма."
Encryption,security-tools,spiderfoot,17278,Python,https://github.com/smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,SpiderFoot автоматизирует OSINT для сбора информации об угрозах и составления карты поверхности атаки.
Analysis,data-science,ML-YouTube-Courses,17138,Multi,https://github.com/dair-ai/ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.,📺 Откройте для себя новейшие курсы по машинному обучению и искусственному интеллекту на YouTube.
Analysis,data-science,machine-learning-for-trading,16988,Jupyter Notebook,https://github.com/stefan-jansen/machine-learning-for-trading,"Code for Machine Learning for Algorithmic Trading, 2nd edition.","Код машинного обучения для алгоритмической торговли, 2-е издание."
Forecasting,time-series,questdb,16829,Java,https://github.com/questdb/questdb,"QuestDB is a high performance, open-source, time-series database",QuestDB — это высокопроизводительная база данных временных рядов с открытым исходным кодом.
Forecasting,time-series,telegraf,16809,Go,https://github.com/influxdata/telegraf,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.","Агент для сбора, обработки, агрегирования и записи метрик, логов и других произвольных данных."
Design,design-system,awesome-design,16761,Multi,https://github.com/gztchan/awesome-design,🌟 Curated design resources from all over the world.,🌟 Кураторские ресурсы по дизайну со всего мира.
Analysis,data-science,ipython,16692,Python,https://github.com/ipython/ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.","Официальный репозиторий самого IPython. Другие репозитории в организации IPython содержат такие вещи, как веб-сайт, сборки документации и т. д."
Analysis,data-science,Awesome-pytorch-list,16462,Multi,https://github.com/bharathgs/Awesome-pytorch-list,"A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.","Полный список контента, связанного с pytorch, на github, например, различные модели, реализации, вспомогательные библиотеки, учебные пособия и т. д."
Analysis,data-science,gensim,16385,Python,https://github.com/piskvorky/gensim,Topic Modelling for Humans,Тематическое моделирование для людей
Encryption,cryptography,javascript-obfuscator,15955,TypeScript,https://github.com/javascript-obfuscator/javascript-obfuscator,A powerful obfuscator for JavaScript and Node.js,Мощный обфускатор для JavaScript и Node.js.
Encryption,encryption,openvpn-install,15712,Shell,https://github.com/angristan/openvpn-install,"Set up your own OpenVPN server on Debian, Ubuntu, Fedora, CentOS, Arch Linux and more","Настройте свой собственный сервер OpenVPN в Debian, Ubuntu, Fedora, CentOS, Arch Linux и других системах."
Analysis,data-analysis,pygwalker,15711,Python,https://github.com/Kanaries/pygwalker,PyGWalker: Turn your dataframe into an interactive UI for visual analysis,PyGWalker: превратите свой фрейм данных в интерактивный пользовательский интерфейс для визуального анализа.
Analysis,data-science,dvc,15502,Python,https://github.com/treeverse/dvc,🦉 Data Versioning and ML Experiments,🦉 Управление версиями данных и эксперименты с машинным обучением
Encryption,security-tools,lynis,15477,Shell,https://github.com/CISOfy/lynis,"Lynis - Security auditing tool for Linux, macOS, and UNIX-based systems. Assists with compliance testing (HIPAA/ISO27001/PCI DSS) and system hardening. Agentless, and installation optional.","Lynis — инструмент аудита безопасности для систем на базе Linux, macOS и UNIX. Помогает в тестировании на соответствие (HIPAA/ISO27001/PCI DSS) и повышении уровня защиты системы. Без агента, установка необязательна."
Encryption,cryptography,bounty-program,15419,Multi,https://github.com/zama-ai/bounty-program,Zama Bounty Program: Contribute to the FHE space and Zama's open source libraries and get rewarded 💰,Программа Zama Bounty: внесите свой вклад в развитие FHE и библиотек с открытым исходным кодом Zama и получите вознаграждение 💰
Analysis,data-science,dagster,15199,Python,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.","Платформа оркестровки для разработки, производства и наблюдения за активами данных."
Encryption,security-tools,wazuh,15173,C++,https://github.com/wazuh/wazuh,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,Wazuh — платформа безопасности с открытым исходным кодом. Унифицированная защита XDR и SIEM для конечных точек и облачных рабочих нагрузок.
Encryption,encryption,brook,15116,Go,https://github.com/txthinking/brook,A cross-platform programmable network tool,Кроссплатформенный программируемый сетевой инструмент.
Encryption,cryptography,cryptomator,14877,Java,https://github.com/cryptomator/cryptomator,"Cryptomator for Windows, macOS, and Linux: Secure client-side encryption for your cloud storage, ensuring privacy and control over your data.","Cryptomator для Windows, macOS и Linux: безопасное шифрование на стороне клиента для вашего облачного хранилища, обеспечивающее конфиденциальность и контроль над вашими данными."
Forecasting,forecasting,DeepLearningExamples,14765,Jupyter Notebook,https://github.com/NVIDIA/DeepLearningExamples,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,"Современные сценарии глубокого обучения, организованные по моделям, легко обучаются и развертываются с воспроизводимой точностью и производительностью в инфраструктуре корпоративного уровня."
Encryption,encryption,duplicati,14414,C#,https://github.com/duplicati/duplicati,Store securely encrypted backups in the cloud!,Храните надежно зашифрованные резервные копии в облаке!
Analysis,data-science,nni,14347,Python,https://github.com/microsoft/nni,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.","Набор инструментов AutoML с открытым исходным кодом для автоматизации жизненного цикла машинного обучения, включая разработку функций, поиск нейронной архитектуры, сжатие модели и настройку гиперпараметров."
Statistics,statistics,Virgilio,14318,Jupyter Notebook,https://github.com/virgili0/Virgilio,Your new Mentor for Data Science E-Learning.,Ваш новый наставник по электронному обучению в области науки о данных.
Analysis,data-science,awesome-bigdata,14313,Multi,https://github.com/oxnr/awesome-bigdata,"A curated list of awesome big data frameworks, ressources and other awesomeness.","Кураторский список потрясающих инфраструктур больших данных, ресурсов и других замечательных возможностей."
Statistics,statistics,tokei,14191,Rust,https://github.com/XAMPPRocky/tokei,"Count your code, quickly.",Быстро посчитайте свой код.
Encryption,security-tools,pentagi,14117,Go,https://github.com/vxcontrol/pentagi,Fully autonomous AI Agents system capable of performing complex penetration testing tasks,"Полностью автономная система AI Agents, способная выполнять сложные задачи тестирования на проникновение."
Analysis,data-science,awesome-mlops,13840,Multi,https://github.com/visenger/awesome-mlops,A curated list of references for MLOps ,Кураторский список ссылок для MLOps
Analysis,data-science,seaborn,13794,Python,https://github.com/mwaskom/seaborn,Statistical data visualization in Python,Визуализация статистических данных в Python
Encryption,cryptography,libsodium,13571,C,https://github.com/jedisct1/libsodium,"A modern, portable, easy to use crypto library.","Современная, портативная и простая в использовании криптобиблиотека."
Encryption,security-tools,fscan,13556,Go,https://github.com/shadow1ng/fscan,"一款内网综合扫描工具，方便一键自动化、全方位漏扫扫描。(An intranet comprehensive scanning tool, enabling one-click automated, all-round vulnerability scanning)","Комплексный инструмент сканирования в интрасети, который упрощает автоматическое сканирование всех пропущенных документов одним щелчком мыши. (Инструмент комплексного сканирования во внутренней сети, позволяющий одним щелчком мыши выполнить всестороннее сканирование уязвимостей)"
